amitabh_bachchan	allahabad
pelican	lt_AlaskaAlaskagt
nikolai	lt_AlaskaAlaskagt
tanana	lt_AlaskaAlaskagt
or_tambo_international_airport	kempton_park_gauteng
paradise_valley	lt_ArizonaArizonagt
paradise_valley	lt_AlbertaAlbertagt
taylor	lt_ArizonaArizonagt
kearny	lt_ArizonaArizonagt
elm_springs	lt_ArkansasArkansasgt
holland	lt_ArkansasArkansasgt
holland	lt_MichiganMichigangt
holland	lt_Brown_County_WisconsinWisconsingt
mccaskill	lt_ArkansasArkansasgt
redfield	lt_ArkansasArkansasgt
redfield	lt_South_DakotaSouth_Dakotagt
keo	lt_ArkansasArkansasgt
daisy	lt_ArkansasArkansasgt
glenwood	lt_ArkansasArkansasgt
lockesburg	lt_ArkansasArkansasgt
russell	lt_ArkansasArkansasgt
russell	lt_KentuckyKentuckygt
patterson	lt_ArkansasArkansasgt
patterson	lt_LouisianaLouisianagt
lafayette	lt_CaliforniaSan_Francisco_Bay_Areagt
parlier	lt_CaliforniaCaliforniagt
reedley	lt_CaliforniaCaliforniagt
alhambra	lt_CaliforniaLos_Angeles_County_Californiagt
bell_gardens	lt_CaliforniaLos_Angeles_County_Californiagt
paramount	lt_CaliforniaLos_Angeles_County_Californiagt
livingston	lt_CaliforniaCaliforniagt
livingston	lt_LouisianaLouisianagt
livingston	lt_MontanaMontanagt
laguna_niguel	lt_CaliforniaOrange_County_Californiagt
san_juan_bautista	lt_CaliforniaCaliforniagt
rialto	lt_CaliforniaSan_Bernardino_County_Californiagt
hillsborough	lt_CaliforniaCaliforniagt
petaluma	lt_CaliforniaCaliforniagt
tehama	lt_CaliforniaCaliforniagt
avon	lt_ColoradoColoradogt
brookside	lt_ColoradoColoradogt
brookside	lt_BerkshireBerkshiregt
wellington	lt_ColoradoColoradogt
iliff	lt_ColoradoColoradogt
fowler	lt_ColoradoColoradogt
rocky_ford	lt_ColoradoColoradogt
rye	lt_ColoradoColoradogt
kenton	lt_DelawareKent_County_Delawaregt
new_castle	lt_DelawareDelawaregt
cape_canaveral	lt_FloridaBrevard_County_Floridagt
pompano_beach	lt_FloridaBroward_County_Floridagt
lake_placid	lt_FloridaHighlands_County_Floridagt
lake_placid	lt_New_YorkNew_Yorkgt
astatula	lt_FloridaLake_County_Floridagt
tavares	lt_FloridaLake_County_Floridagt
bay_harbor_islands	lt_FloridaMiamiDade_County_Floridagt
lakeland	lt_FloridaPolk_County_Floridagt
deland	lt_FloridaVolusia_County_Floridagt
clark_fork	lt_IdahoIdahogt
oldtown	lt_IdahoIdahogt
kootenai	lt_IdahoIdahogt
oxford	lt_IdahoIdahogt
oxford	lt_NebraskaNebraskagt
oxford	south_east_england
buhl	lt_IdahoIdahogt
ripley	lt_IllinoisIllinoisgt
ripley	lt_TennesseeTennesseegt
shannon	lt_IllinoisIllinoisgt
bulpitt	lt_IllinoisIllinoisgt
alsip	lt_IllinoisIllinoisgt
golf	lt_IllinoisIllinoisgt
kenilworth	lt_IllinoisIllinoisgt
riverside	lt_IllinoisIllinoisgt
riverside	lt_CaliforniaRiverside_County_Californiagt
carol_stream	lt_IllinoisIllinoisgt
downers_grove	lt_IllinoisIllinoisgt
piper_city	lt_IllinoisIllinoisgt
ellisville	lt_IllinoisIllinoisgt
vermont	lt_IllinoisIllinoisgt
vermont	lt_WisconsinWisconsingt
east_brooklyn	lt_IllinoisIllinoisgt
media	lt_IllinoisIllinoisgt
watseka	lt_IllinoisIllinoisgt
virgil	lt_IllinoisIllinoisgt
green_oaks	lt_IllinoisIllinoisgt
libertyville	lt_IllinoisIllinoisgt
park_city	lt_IllinoisIllinoisgt
cullom	lt_IllinoisIllinoisgt
maroa	lt_IllinoisIllinoisgt
wood_river	lt_IllinoisIllinoisgt
chenoa	lt_IllinoisIllinoisgt
gridley	lt_IllinoisIllinoisgt
murrayville	lt_IllinoisIllinoisgt
leaf_river	lt_IllinoisIllinoisgt
norwood	lt_IllinoisIllinoisgt
norwood	lt_MassachusettsNorfolk_County_Massachusettsgt
lenzburg	lt_IllinoisIllinoisgt
new_athens	lt_IllinoisIllinoisgt
smithton	lt_IllinoisIllinoisgt
fithian	lt_IllinoisIllinoisgt
erie	lt_IllinoisIllinoisgt
durand	lt_IllinoisIllinoisgt
van_buren	lt_IndianaIndianagt
westfield	lt_IndianaIndianagt
westfield	lt_New_JerseyNew_Jerseygt
kennard	lt_IndianaIndianagt
middletown	lt_IndianaIndianagt
middletown	lt_Delaware_County_New_YorkNew_Yorkgt
brooksburg	lt_IndianaIndianagt
cedar_lake	lt_IndianaIndianagt
wingate	lt_IndianaIndianagt
brook	lt_IndianaIndianagt
russellville	lt_IndianaIndianagt
russellville	lt_KentuckyKentuckygt
morristown	lt_IndianaIndianagt
dana	lt_IndianaIndianagt
monticello	lt_IndianaIndianagt
monticello	lt_Lafayette_County_WisconsinWisconsingt
pembrokeshire	geoent_wales_2634895
norcatur	lt_KansasKansasgt
holyrood	lt_KansasKansasgt
ford	lt_KansasKansasgt
milford	lt_DelawareDelawaregt
milford	lt_KansasKansasgt
junction_city	lt_KansasKansasgt
montezuma	lt_KansasKansasgt
satanta	lt_KansasKansasgt
winona	lt_KansasKansasgt
hartford	lt_KansasKansasgt
dearing	lt_KansasKansasgt
tyro	lt_KansasKansasgt
galesburg	lt_KansasKansasgt
lyons	lt_KansasKansasgt
garden_plain	lt_KansasKansasgt
rochester	lt_KentuckyKentuckygt
rochester	lt_MichiganMichigangt
rochester	lt_MinnesotaMinnesotagt
rochester	lt_New_YorkNew_Yorkgt
rochester	lt_KentKentgt
southgate	lt_KentuckyKentuckygt
silver_grove	lt_KentuckyKentuckygt
wurtland	lt_KentuckyKentuckygt
island	lt_KentuckyKentuckygt
jeffersonville	lt_IndianaIndianagt
jeffersonville	lt_KentuckyKentuckygt
simpsonville	lt_KentuckyKentuckygt
campbellsville	lt_KentuckyKentuckygt
mansura	lt_LouisianaLouisianagt
columbia	lt_LouisianaLouisianagt
columbia	lt_TennesseeTennesseegt
zachary	lt_LouisianaLouisianagt
bonita	lt_LouisianaLouisianagt
ball	lt_LouisianaLouisianagt
kentwood	lt_LouisianaLouisianagt
dighton	lt_MassachusettsBristol_County_Massachusettsgt
rehoboth	lt_MassachusettsBristol_County_Massachusettsgt
stow	lt_MassachusettsMiddlesex_County_Massachusettsgt
canton	lt_MassachusettsNorfolk_County_Massachusettsgt
canton	lt_OhioOhiogt
norfolk	lt_VirginiaVirginiagt
norfolk	lt_MassachusettsNorfolk_County_Massachusettsgt
douglas	lt_MassachusettsWorcester_County_Massachusettsgt
douglas	lt_Isle_of_ManUnited_Kingdomgt
chatham	lt_MichiganMichigangt
fennville	lt_MichiganMichigangt
otsego	lt_MichiganMichigangt
three_oaks	lt_MichiganMichigangt
saranac	lt_MichiganMichigangt
cedar_springs	lt_MichiganMichigangt
custer	lt_MichiganMichigangt
free_soil	lt_MichiganMichigangt
menominee	lt_MichiganMichigangt
white_cloud	lt_MichiganMichigangt
evart	lt_MichiganMichigangt
vernon	lt_MichiganMichigangt
east_bethel	lt_MinnesotaMinnesotagt
trommald	lt_MinnesotaMinnesotagt
alexandria	lt_VirginiaVirginiagt
alexandria	lt_LouisianaLouisianagt
alexandria	lt_MinnesotaMinnesotagt
wayzata	lt_MinnesotaMinnesotagt
st_vincent	lt_MinnesotaMinnesotagt
ivanhoe	lt_MinnesotaMinnesotagt
trimont	lt_MinnesotaMinnesotagt
bock	lt_MinnesotaMinnesotagt
iona	lt_MinnesotaMinnesotagt
red_lake_falls	lt_MinnesotaMinnesotagt
clements	lt_MinnesotaMinnesotagt
new_auburn	lt_MinnesotaMinnesotagt
st_joseph	lt_MinnesotaMinnesotagt
grant	lt_MinnesotaMinnesotagt
st_paul_park	lt_MinnesotaMinnesotagt
altura	lt_MinnesotaMinnesotagt
savannah	lt_MissouriMissourigt
hartsburg	lt_MissouriMissourigt
norborne	lt_MissouriMissourigt
west_line	lt_MissouriMissourigt
jerico_springs	lt_MissouriMissourigt
turney	lt_MissouriMissourigt
saint_clair	lt_MissouriMissourigt
new_hampton	lt_MissouriMissourigt
hartwell	lt_MissouriMissourigt
hermitage	lt_MissouriMissourigt
armstrong	lt_MissouriMissourigt
armstrong	lt_OklahomaOklahomagt
kimmswick	lt_MissouriMissourigt
evergreen	lt_MissouriMissourigt
chain_of_rocks	lt_MissouriMissourigt
theodosia	lt_MissouriMissourigt
queen_city	lt_MissouriMissourigt
blodgett	lt_MissouriMissourigt
augusta	lt_MissouriMissourigt
bonne_terre	lt_MissouriMissourigt
crestwood	lt_MissouriMissourigt
des_peres	lt_MissouriMissourigt
richmond_heights	lt_MissouriMissourigt
williamsville	lt_MissouriMissourigt
browning	lt_MontanaMontanagt
brockton	lt_MontanaMontanagt
poplar	lt_MontanaMontanagt
westby	lt_MontanaMontanagt
martinsburg	lt_NebraskaNebraskagt
martinsburg	lt_West_VirginiaWest_Virginiagt
edison	lt_NebraskaNebraskagt
odell	lt_NebraskaNebraskagt
cotesfield	lt_NebraskaNebraskagt
madison	lt_NebraskaNebraskagt
lebanon	lt_IllinoisIllinoisgt
lebanon	lt_MissouriMissourigt
lebanon	lt_NebraskaNebraskagt
lebanon	lt_PennsylvaniaPennsylvaniagt
lebanon	lt_TennesseeTennesseegt
friend	lt_NebraskaNebraskagt
rushville	lt_NebraskaNebraskagt
madison_heights	lt_MichiganMichigangt
albany	lt_New_HampshireCarroll_County_New_Hampshiregt
albany	lt_WisconsinWisconsingt
brookfield	lt_New_HampshireCarroll_County_New_Hampshiregt
brookfield	lt_WisconsinWisconsingt
westmoreland	lt_New_HampshireCheshire_County_New_Hampshiregt
walpole	lt_New_HampshireCheshire_County_New_Hampshiregt
walpole	lt_Western_AustraliaWestern_Australiagt
sugar_hill	lt_New_HampshireGrafton_County_New_Hampshiregt
stanford	lt_MontanaMontanagt
pembroke_castle	pembroke_pembrokeshire
european_youth_parliament	berlin
berlin	germany
berlin	lt_North_DakotaNorth_Dakotagt
carrizozo	lt_New_MexicoNew_Mexicogt
floyd	lt_New_MexicoNew_Mexicogt
meridian	lt_New_YorkNew_Yorkgt
gerry	lt_New_YorkNew_Yorkgt
gallatin	lt_New_YorkNew_Yorkgt
gallatin	lt_TennesseeTennesseegt
wales	lt_New_YorkNew_Yorkgt
essex	lt_New_YorkNew_Yorkgt
elizabethtown	lt_New_YorkNew_Yorkgt
lewis	lt_Essex_County_New_YorkNew_Yorkgt
lorraine	lt_New_YorkNew_Yorkgt
leyden	lt_New_YorkNew_Yorkgt
nelson	lt_New_YorkNew_Yorkgt
honeoye_falls	lt_New_YorkNew_Yorkgt
lynbrook	lt_New_YorkNew_Yorkgt
plandome	lt_New_YorkNew_Yorkgt
whitestown	lt_New_YorkNew_Yorkgt
east_syracuse	lt_New_YorkNew_Yorkgt
pittsfield	lt_New_YorkNew_Yorkgt
brewster	lt_New_YorkNew_Yorkgt
pittstown	lt_New_YorkNew_Yorkgt
sand_lake	lt_New_YorkNew_Yorkgt
staten_island	new_york_city
new_york_city	new_york
sharon_springs	lt_New_YorkNew_Yorkgt
clifton	lt_New_YorkNew_Yorkgt
dansville	lt_Steuben_County_New_YorkNew_Yorkgt
lindley	lt_New_YorkNew_Yorkgt
quogue	lt_New_YorkNew_Yorkgt
peekskill	lt_New_YorkNew_Yorkgt
pelham_manor	lt_New_YorkNew_Yorkgt
lake_lure	lt_North_CarolinaRutherford_County_North_Carolinagt
maxbass	lt_North_DakotaNorth_Dakotagt
watford_city	lt_North_DakotaNorth_Dakotagt
ruso	lt_North_DakotaNorth_Dakotagt
plaza	lt_North_DakotaNorth_Dakotagt
white_earth	lt_North_DakotaNorth_Dakotagt
bathgate	lt_North_DakotaNorth_Dakotagt
balta	lt_North_DakotaNorth_Dakotagt
hampden	lt_North_DakotaNorth_Dakotagt
fort_yates	lt_North_DakotaNorth_Dakotagt
amidon	lt_North_DakotaNorth_Dakotagt
williston	lt_North_DakotaNorth_Dakotagt
williston	lt_FloridaLevy_County_Floridagt
fayetteville	lt_ArkansasArkansasgt
fayetteville	lt_OhioOhiogt
higginsport	lt_OhioOhiogt
bucyrus	lt_OhioOhiogt
pepper_pike	lt_OhioOhiogt
grandview_heights	lt_OhioOhiogt
amberley	lt_OhioOhiogt
lincoln_heights	lt_OhioOhiogt
north_bend	lt_OhioOhiogt
florida	lt_OhioOhiogt
millersburg	lt_OhioOhiogt
sheffield	lt_OhioOhiogt
new_bloomington	lt_OhioOhiogt
trotwood	lt_OhioOhiogt
otway	lt_OhioOhiogt
attica	lt_OhioOhiogt
corwin	lt_OhioOhiogt
wooster	lt_OhioOhiogt
stringtown	lt_OklahomaOklahomagt
welch	lt_OklahomaOklahomagt
ringling	lt_OklahomaOklahomagt
hennessey	lt_OklahomaOklahomagt
mountain_view	lt_OklahomaOklahomagt
adair	lt_OklahomaOklahomagt
langley	lt_OklahomaOklahomagt
paden	lt_OklahomaOklahomagt
smith_village	lt_OklahomaOklahomagt
shidler	lt_OklahomaOklahomagt
cromwell	lt_OklahomaOklahomagt
bray	lt_OklahomaOklahomagt
gold_beach	lt_OregonOregongt
madras	lt_OregonOregongt
lowell	lt_OregonOregongt
scotts_mills	lt_OregonOregongt
grass_valley	lt_OregonOregongt
shamokin	lt_PennsylvaniaPennsylvaniagt
monongahela	lt_PennsylvaniaPennsylvaniagt
west_greenwich	lt_Rhode_IslandRhode_Islandgt
sinai	lt_South_DakotaSouth_Dakotagt
astoria	lt_OregonOregongt
astoria	lt_South_DakotaSouth_Dakotagt
lake_city	lt_South_DakotaSouth_Dakotagt
bridgewater	lt_South_DakotaSouth_Dakotagt
new_effington	lt_South_DakotaSouth_Dakotagt
alcoa	lt_TennesseeTennesseegt
alamo	lt_TennesseeTennesseegt
gadsden	lt_TennesseeTennesseegt
somerville	lt_TennesseeTennesseegt
decherd	lt_TennesseeTennesseegt
tusculum	lt_TennesseeTennesseegt
lakesite	lt_TennesseeTennesseegt
sneedville	lt_TennesseeTennesseegt
cumberland_city	lt_TennesseeTennesseegt
gleason	lt_TennesseeTennesseegt
universal_city	lt_TexasTexasgt
byers	lt_TexasTexasgt
prosper	lt_TexasTexasgt
eden	lt_TexasTexasgt
hackberry	lt_TexasTexasgt
spur	lt_TexasTexasgt
stephenville	lt_TexasTexasgt
fairchilds	lt_TexasTexasgt
fulshear	lt_TexasTexasgt
pampa	lt_TexasTexasgt
white_oak	lt_TexasTexasgt
morgans_point	lt_TexasTexasgt
spring_valley_village	lt_TexasTexasgt
waskom	lt_TexasTexasgt
mountain_city	lt_TexasTexasgt
levelland	lt_TexasTexasgt
lone_oak	lt_TexasTexasgt
toco	lt_TexasTexasgt
lubbock	lt_TexasTexasgt
robinson	lt_TexasTexasgt
woodsboro	lt_TexasTexasgt
buffalo_gap	lt_TexasTexasgt
huntsville	lt_AlabamaAlabamagt
huntsville	lt_TexasTexasgt
burkburnett	lt_TexasTexasgt
amalga	lt_UtahUtahgt
cornish	lt_UtahUtahgt
clinton	lt_UtahUtahgt
rocky_ridge	lt_UtahUtahgt
alton	lt_UtahUtahgt
alton	lt_StaffordshireStaffordshiregt
south_salt_lake	lt_UtahUtahgt
woodland_hills	lt_UtahUtahgt
enterprise	lt_AlabamaAlabamagt
enterprise	lt_UtahUtahgt
torrey	lt_UtahUtahgt
wachapreague	lt_VirginiaVirginiagt
port_royal	lt_VirginiaVirginiagt
vienna	lt_VirginiaVirginiagt
vienna	austria
monterey	lt_VirginiaVirginiagt
monterey	lt_CaliforniaCaliforniagt
crewe	lt_VirginiaVirginiagt
honaker	lt_VirginiaVirginiagt
newsoms	lt_VirginiaVirginiagt
dendron	lt_VirginiaVirginiagt
montross	lt_VirginiaVirginiagt
pound	lt_VirginiaVirginiagt
kelso	lt_WashingtonWashington_US_stategt
hartline	lt_WashingtonWashington_US_stategt
marrowstone	lt_WashingtonWashington_US_stategt
toledo	lt_OhioOhiogt
toledo	lt_WashingtonWashington_US_stategt
burlington	lt_WashingtonWashington_US_stategt
spokane	lt_WashingtonWashington_US_stategt
yelm	lt_WashingtonWashington_US_stategt
albion	lt_WashingtonWashington_US_stategt
st_john	lt_WashingtonWashington_US_stategt
palouse	lt_WashingtonWashington_US_stategt
danville	lt_KentuckyKentuckygt
danville	lt_West_VirginiaWest_Virginiagt
fairmont	lt_West_VirginiaWest_Virginiagt
oakvale	lt_West_VirginiaWest_Virginiagt
terra_alta	lt_West_VirginiaWest_Virginiagt
richfield	lt_Adams_County_WisconsinWisconsingt
marengo	lt_WisconsinWisconsingt
cameron	lt_Barron_County_WisconsinWisconsingt
ashwaubenon	lt_WisconsinWisconsingt
eaton	lt_Clark_County_WisconsinWisconsingt
eaton	lt_Cheshire_EastCheshiregt
wheeler	lt_WisconsinWisconsingt
merrillan	lt_WisconsinWisconsingt
millston	lt_WisconsinWisconsingt
peck	lt_WisconsinWisconsingt
somo	lt_WisconsinWisconsingt
brokaw	lt_WisconsinWisconsingt
frankfort	lt_KentuckyKentuckygt
frankfort	lt_South_DakotaSouth_Dakotagt
frankfort	lt_Marathon_County_WisconsinWisconsingt
porterfield	lt_WisconsinWisconsingt
newton	lt_Marquette_County_WisconsinWisconsingt
cassian	lt_WisconsinWisconsingt
little_chute	lt_WisconsinWisconsingt
isabelle	lt_WisconsinWisconsingt
plum_city	lt_WisconsinWisconsingt
fifield	lt_WisconsinWisconsingt
akan	lt_WisconsinWisconsingt
pella	lt_WisconsinWisconsingt
morris	lt_MinnesotaMinnesotagt
morris	lt_WisconsinWisconsingt
roosevelt	lt_Taylor_County_WisconsinWisconsingt
trego	lt_WisconsinWisconsingt
slinger	lt_WisconsinWisconsingt
biron	lt_WisconsinWisconsingt
dexter	lt_MissouriMissourigt
dexter	lt_WisconsinWisconsingt
wisconsin_rapids	lt_WisconsinWisconsingt
hulett	lt_WyomingWyominggt
newcastle	lt_WyomingWyominggt
newcastle	lt_WashingtonKing_County_Washingtongt
arundel	west_sussex
midwest_airlines	oak_creek_wisconsin
prospect	lt_KentuckyKentuckygt
broussard	lt_LouisianaLouisianagt
east_lansing	lt_MichiganMichigangt
fort_snelling	lt_MinnesotaHennepin_County_Minnesotagt
greentop	lt_MissouriMissourigt
cape_girardeau	lt_MissouriMissourigt
pacific	lt_MissouriMissourigt
columbiana	lt_OhioOhiogt
valley_mills	lt_TexasTexasgt
mont_belvieu	lt_TexasTexasgt
richardson	lt_TexasTexasgt
longview	lt_TexasTexasgt
fritch	lt_TexasTexasgt
viola	lt_WisconsinWisconsingt
waupun	lt_WisconsinWisconsingt
riddlesden	west_yorkshire
pudsey	west_yorkshire
j_august_richards	washington_dc
cosworth	northampton
northampton	northamptonshire
federal_deposit_insurance_corporation	washington_dc
rockefeller_center	midtown_manhattan
whitby	north_yorkshire
international_society_for_krishna_consciousness	mayapur
onslow_village	surrey
fernelmont	geoent_arrondissement_de_namur_2790470
iwo_jima	tokyo
trøgstad	geoent_østfold_fylke_3143188
sørum	geoent_akershus_fylke_3163480
stange	hedmark
sørodal	geoent_hedmark_fylke_3153403
tynset	hedmark
lunner	geoent_oppland_fylke_3143487
kviteseid	geoent_telemark_fylke_3134723
nesset	geoent_møre_og_romsdal_fylke_3145495
sandøy	møre_og_romsdal
frei	geoent_møre_og_romsdal_fylke_3145495
frei	møre_og_romsdal
salangen	geoent_troms_fylke_3133897
hagen	north_rhinewestphalia
north_rhinewestphalia	germany
baden	german_empire
minden	lt_LouisianaLouisianagt
minden	north_rhinewestphalia
naseby	northamptonshire
saale	bavaria
bavaria	germany
west_warwick	lt_Rhode_IslandRhode_Islandgt
saguenay_river	quebec
plains_of_abraham	quebec_city
quintana_roo	mexico
sandefjord_airport	lt_TorpStokkegt
michoacán	mexico
bae_systems	farnborough_hampshire
valmy	geoent_valmy_6436060
spui_river	netherlands
citigroup	new_york_city
sula	lt_Møre_og_RomsdalMøre_og_Romsdalgt
shaftesbury	dorset
sandhurst	berkshire
norton	lt_SuffolkSuffolkgt
honington	lt_SuffolkSuffolkgt
yerkes_observatory	williams_bay_wisconsin
parszowice	lubin_county
ice_age_trail	wisconsin
cuxhaven	germany
economic_development_administration	washington_dc
reigate	surrey
são_paulo_state	brazil
brigach	badenwürttemberg
badenwürttemberg	germany
badenwürttemberg	geoent_federal_republic_of_germany_2921044
farnborough	lt_HampshireHampshiregt
ballard_power_systems	burnaby
central_bureau_of_investigation	new_delhi
westinghouse_electric_company	cranberry_township_butler_county_pennsylvania
buffalo_1920s_nfl_teams	buffalo_new_york
orangenewark_tornadoes	orange_new_jersey
oorang_indians	larue_ohio
ivan_meštrović	vrpolje
brecon	powys
helsinki_city_transport	helsinki
helsinki	finland
ingelheim_am_rhein	rhinelandpalatinate
rhinelandpalatinate	germany
hanson	lt_MassachusettsPlymouth_County_Massachusettsgt
newport	wales
newport	lt_Rhode_IslandRhode_Islandgt
newport	lt_New_HampshireSullivan_County_New_Hampshiregt
north_collins_village	lt_New_YorkNew_Yorkgt
webster_village	lt_New_YorkNew_Yorkgt
bridgewater_village	lt_New_YorkNew_Yorkgt
cherry_valley_town	lt_New_YorkNew_Yorkgt
canton_town	lt_New_YorkNew_Yorkgt
hammond_village	lt_New_YorkNew_Yorkgt
cohocton_village	lt_New_YorkNew_Yorkgt
salem_village	lt_New_YorkNew_Yorkgt
chetek	lt_WisconsinWisconsingt
washburn	lt_WisconsinWisconsingt
columbus	lt_OhioOhiogt
columbus	lt_WisconsinWisconsingt
blue_mounds_town	lt_WisconsinWisconsingt
mazomanie	lt_WisconsinWisconsingt
superior_village	lt_WisconsinWisconsingt
boscobel	lt_WisconsinWisconsingt
cassville	lt_WisconsinWisconsingt
princeton_town	lt_WisconsinWisconsingt
ixonia	lt_WisconsinWisconsingt
luxemburg_town	lt_WisconsinWisconsingt
benton_town	lt_WisconsinWisconsingt
spencer	lt_WisconsinWisconsingt
stockholm_town	lt_WisconsinWisconsingt
osceola	lt_WisconsinWisconsingt
spring_green_town	lt_WisconsinWisconsingt
rib_lake_town	lt_WisconsinWisconsingt
viroqua	lt_WisconsinWisconsingt
walworth	lt_WisconsinWisconsingt
jackson	lt_MichiganMichigangt
jackson	lt_Washington_County_WisconsinWisconsingt
arpin	lt_WisconsinWisconsingt
port_edwards_town	lt_WisconsinWisconsingt
mesaba_airlines	eagan_minnesota
kai_tak_airport	kowloon_bay
berlin_schönefeld_airport	schönefeld
kimmeridge	dorset
afghan_museum	hamburg
hamburg	germany
mountain_province	geoent_republic_of_the_philippines_1694008
reserve_bank_of_india	mumbai
macys	new_york_city
nantua	geoent_nantua_6424605
melbourne_international_airport	melbourne_florida
buffalo_niagara_international_airport	cheektowaga_town_new_york
rrs_discovery	dundee
dundee	scotland
argenteuil	geoent_argenteuil_6452047
nipawin	lt_SaskatchewanSaskatchewangt
eagle_rock_reservation	west_orange_new_jersey
mossos_desquadra	sabadell
harold_bennett	hastings
hastings	east_sussex
gerald_brockhurst	birmingham
birmingham	lt_AlabamaAlabamagt
birmingham	west_midlands_region
stafford	staffordshire
mona	lt_Puerto_RicoPuerto_Ricogt
fernando_botero	medellín
new_mexico_museum_of_space_history	alamogordo_new_mexico
korg	inagi_tokyo
charles_starkweather	lincoln_nebraska
pea_ridge_national_military_park	benton_county_arkansas
irem	hakusan_ishikawa
yuste	spain
sleepycat_software	lincoln_massachusetts
general_juan_n_álvarez_international_airport	acapulco
akabira	lt_HokkaidōHokkaidōgt
ltŌfunatogt	lt_IwateIwate_Prefecturegt
hitachinaka	lt_IbarakiIbaraki_Prefecturegt
fujimi	lt_SaitamaSaitama_Prefecturegt
yaizu	lt_ShizuokaShizuoka_Prefecturegt
arida	lt_WakayamaWakayama_Prefecturegt
iyo	lt_EhimeEhime_Prefecturegt
aki	lt_KōchiKōchi_Prefecturegt
tagawa	lt_FukuokaFukuoka_Prefecturegt
koga	lt_IbarakiIbaraki_Prefecturegt
kodaira	lt_TokyoTokyogt
higashiyamato	lt_TokyoTokyogt
musashimurayama	lt_TokyoTokyogt
john_trumbull	lebanon_connecticut
st_stephen	lt_New_BrunswickNew_Brunswickgt
lower_east_side	henry_street_settlement
henry_street_settlement	manhattan
ridgedale	lt_SaskatchewanSaskatchewangt
sultan_ahmed_mosque	istanbul
elizabeth_thompson	lausanne
lausanne	switzerland
educational_testing_service	princeton_new_jersey
borehamwood	hertfordshire
party_of_democratic_action	sarajevo
new_world_development	hong_kong
abe_river	japan
japan	geoent_asia_6255147
mount_assiniboine	british_columbia
british_columbia	geoent_canada_6251999
fitzwilliam_museum	cambridge
gasherbrum_ii	pakistan
berg_lake	mount_robson_provincial_park
advanced_info_service	bangkok
colonial_national_historical_park	virginia
alcester	warwickshire
leighton_buzzard	bedfordshire
daily_record_scotland	glasgow
glasgow	lt_KentuckyKentuckygt
glasgow	scotland
donald_healey_motor_company	warwick
warwick	lt_QueenslandQueenslandgt
negeri_sembilan	malaysia
malaysia	geoent_asia_6255147
new_tecumseth	lt_OntarioOntariogt
louis_de_funès	courbevoie
hsbc_main_building	lt_Hong_KongHong_Konggt
croagh_patrick	county_mayo
narew	belarus
bowen	lt_QueenslandQueenslandgt
coleville	lt_SaskatchewanSaskatchewangt
intelligent_systems	kyoto
gayhurst	buckinghamshire
gawcott	buckinghamshire
social_democratic_party_portugal	lisbon
lisbon	portugal
kiasma	helsinki
jamaica_labour_party	kingston_jamaica
high_park	toronto
sarita	lt_TexasTexasgt
hambleden	buckinghamshire
