alexander_iii_of_russia	maria_feodorovna_dagmar_of_denmark
marie_josé_of_belgium	umberto_ii_of_italy
nicolas_roeg	theresa_russell
nicolas_roeg	susan_stephen
theresa_russell	nicolas_roeg
rowan_williams	jane_williams_theologian
john_i	lt_Duke_of_BrabantMargaret_of_France_Duchess_of_Brabantgt
jean_chrétien	aline_chrétien
jane_birkin	serge_gainsbourg
jane_birkin	john_barry_composer
jane_birkin	jacques_doillon
jim_carrey	lauren_holly
lauren_holly	jim_carrey
rex_harrison	kay_kendall
rex_harrison	lilli_palmer
rex_harrison	elizabeth_reeswilliams
kay_kendall	rex_harrison
kenneth_branagh	emma_thompson
emma_thompson	kenneth_branagh
emma_thompson	greg_wise
frederick_iii_of_denmark	sophie_amalie_of_brunswicklüneburg
sophie_amalie_of_brunswicklüneburg	frederick_iii_of_denmark
matthias	lt_Holy_Roman_EmperorAnna_of_Tyrolgt
john_ii_of_aragon	blanche_i_of_navarre
john_ii_of_aragon	juana_enríquez
blanche_i_of_navarre	john_ii_of_aragon
blanche_i_of_navarre	martin_i_of_sicily
frederick_ix_of_denmark	ingrid_of_sweden
ingrid_of_sweden	frederick_ix_of_denmark
prunella_scales	timothy_west
timothy_west	prunella_scales
samuel_augustus_barnett	henrietta_barnett
henrietta_barnett	samuel_augustus_barnett
greg_wise	emma_thompson
stephen_v_of_hungary	elizabeth_the_cuman
elizabeth_the_cuman	stephen_v_of_hungary
cliff_robertson	cynthia_stone
cliff_robertson	dina_merrill
ltÁsgeir_Ásgeirssongt	dóra_þórhallsdóttir
lilian	lt_Princess_of_RéthyLeopold_III_of_Belgiumgt
robert_shea	patricia_monaghan
sylvia_anderson	gerry_anderson
gerry_anderson	sylvia_anderson
jan_van_riebeeck	maria_van_riebeeck
betty_compson	james_cruze
james_cruze	betty_compson
james_cruze	marguerite_snow
burt_reynolds	loni_anderson
burt_reynolds	judy_carne
loni_anderson	burt_reynolds
pierce_brosnan	cassandra_harris
pierce_brosnan	keely_shaye_smith
cassandra_harris	pierce_brosnan
nicolaus_ludwig_zinzendorf	anna_nitschmann
dorothy_dandridge	harold_nicholas
harold_nicholas	dorothy_dandridge
zalmay_khalilzad	cheryl_benard
una_stubbs	peter_gilmore
una_stubbs	nicky_henson
peter_gilmore	una_stubbs
peter_gilmore	anne_stallybrass
peter_gilmore	jan_waters
nicky_henson	una_stubbs
chulalongkorn	savang_vadhana
chulalongkorn	saovabha_bongsri
chulalongkorn	sunandha_kumariratana
savang_vadhana	chulalongkorn
saovabha_bongsri	chulalongkorn
sunandha_kumariratana	chulalongkorn
buddha_yodfa_chulaloke	amarindra
amarindra	buddha_yodfa_chulaloke
humphrey	lt_Duke_of_GloucesterJacqueline_Countess_of_Hainautgt
humphrey	lt_Duke_of_GloucesterEleanor_Cobhamgt
nicholas_roerich	helena_roerich
kamal_haasan	sarika
trevor_nunn	imogen_stubbs
trevor_nunn	janet_suzman
jack_welch	suzy_welch
jack_welch	carolyn_welch
jack_welch	jane_welch
june_carter_cash	johnny_cash
jane_boleyn	lt_Viscountess_RochfordGeorge_Boleyn_Viscount_Rochfordgt
thomas_howard	lt_4th_Duke_of_NorfolkMary_FitzAlangt
thomas_howard	lt_3rd_Duke_of_NorfolkAnne_of_York_Countess_of_Surreygt
thomas_howard	lt_21st_Earl_of_ArundelAlethea_Howard_Countess_of_Arundelgt
michael_keaton	caroline_mcwilliams
frederick_william_iv_of_prussia	elisabeth_ludovika_of_bavaria
elisabeth_ludovika_of_bavaria	frederick_william_iv_of_prussia
anton_lavey	diane_hegarty
anton_lavey	blanche_barton
ubolratana_rajakanya	peter_ladd_jensen
augustus_ii_the_strong	christiane_eberhardine_of_brandenburgbayreuth
george_boleyn	lt_Viscount_RochfordJane_Boleyn_Viscountess_Rochfordgt
sancho_i_of_portugal	dulce_of_aragon
dulce_of_aragon	sancho_i_of_portugal
rosalind_chao	simon_templeman
simon_templeman	rosalind_chao
heidi_klum	seal_musician
alexandra_wentworth	george_stephanopoulos
george_stephanopoulos	alexandra_wentworth
mark_herron	judy_garland
steve_case	jean_case
jean_case	steve_case
smenkhkare	meritaten
dita_von_teese	marilyn_manson
john_aniston	nancy_dow
mike_huckabee	janet_huckabee
christiane_amanpour	james_rubin
james_rubin	christiane_amanpour
beatrice_of_portugal	john_i_of_castile
beatrice_of_portugal	lt_Duchess_of_SavoyCharles_III_Duke_of_Savoygt
alain_delon	rosalie_van_breemen
alain_delon	nathalie_delon
princess_beatrice_of_the_united_kingdom	prince_henry_of_battenberg
prince_henry_of_battenberg	princess_beatrice_of_the_united_kingdom
robert_kardashian	kris_jenner
kris_jenner	robert_kardashian
kris_jenner	bruce_jenner
barbara_walters	lee_guber
madeleine_stowe	brian_benben
brian_benben	madeleine_stowe
joachim_murat	caroline_bonaparte
caroline_bonaparte	joachim_murat
mary_wilson	lt_Lady_Wilson_of_RievaulxHarold_Wilsongt
emilio_estevez	paula_abdul
colin_mochrie	debra_mcgrath
debra_mcgrath	colin_mochrie
stone_cold_steve_austin	debra_marshall
stone_cold_steve_austin	jeannie_clark
ludwig_iii_of_bavaria	maria_theresa_of_austriaeste_18491919
maria_theresa_of_austriaeste_18491919	ludwig_iii_of_bavaria
lady_may_abel_smith	henry_abel_smith
henrigeorges_clouzot	véra_clouzot
véra_clouzot	henrigeorges_clouzot
terry_farrell_actress	brian_baker_actor
brian_baker_actor	terry_farrell_actress
jeffrey_hunter	emily_mclaughlin
jeffrey_hunter	barbara_rush
emily_mclaughlin	jeffrey_hunter
emily_mclaughlin	robert_lansing_actor
emily_mclaughlin	kenneth_harlan
vincente_minnelli	judy_garland
florence_harding	warren_g_harding
ibrahim_nasir	naseema_mohamed
naseema_mohamed	ibrahim_nasir
alan_keen	ann_keen
ann_keen	alan_keen
henry_ii	lt_Duke_of_BrabantMarie_of_Hohenstaufengt
henry_ii	lt_Duke_of_BrabantSophie_of_Thuringia_Duchess_of_Brabantgt
henry_ii	lt_Duke_of_LorraineCatherine_de_Bourbongt
henry_ii	lt_Duke_of_LorraineMargerita_Gonzagagt
henry_plantagenet	lt_3rd_Earl_of_LancasterMaud_Chaworthgt
princess_margaretha_of_sweden	prince_axel_of_denmark
prince_axel_of_denmark	princess_margaretha_of_sweden
orson_bean	alley_mills
susan_fleming	harpo_marx
fanny_brice	billy_rose
fanny_brice	nicky_arnstein
ann_sothern	robert_sterling
robert_sterling	ann_sothern
robert_sterling	anne_jeffreys
gloria_stuart	arthur_sheekman
arthur_sheekman	gloria_stuart
gustavus	lt_Crown_Prince_of_SwedenPrincess_Louise_Amelie_of_Badengt
mark_e_kelly	gabrielle_giffords
gabrielle_giffords	mark_e_kelly
gordon_ramsay	tana_ramsay
tana_ramsay	gordon_ramsay
jimmy_fallon	nancy_juvonen
nancy_juvonen	jimmy_fallon
seth_cohen	summer_roberts
summer_roberts	seth_cohen
charles_iii	lt_Duke_of_LorraineClaude_of_Valoisgt
john_dudley	lt_2nd_Earl_of_WarwickAnne_Dudley_Countess_of_Warwickgt
lou_diamond_phillips	julie_cypher
nargis	sunil_dutt
jacqueline	lt_Countess_of_HainautHumphrey_Duke_of_Gloucestergt
jacqueline	lt_Countess_of_HainautJohn_IV_Duke_of_Brabantgt
mary_stuart_masterson	damon_santostefano
susan_greenfield	lt_Baroness_GreenfieldPeter_Atkinsgt
susan_ward	david_c_robinson
kenneth_harlan	marie_prevost
louis_ii_of_naples	yolande_of_aragon
chelsea_noble	kirk_cameron
kirk_cameron	chelsea_noble
jack_norworth	nora_bayes
jack_norworth	louise_dresser
azlan_shah_of_perak	tuanku_bainun
bruce_jenner	kris_jenner
norman_manley	edna_manley
edna_manley	norman_manley
steve_smith_comedian	morag_smith
elisabeth_elliot	jim_elliot
jim_elliot	elisabeth_elliot
susan_cullenward	leka_crown_prince_of_albania
robert_maynard_hutchins	maude_hutchins
bryce_dallas_howard	seth_gabel
seth_gabel	bryce_dallas_howard
robert_schenkkan	maria_dahvana_headley
robert_kagan	victoria_nuland
olivia_serres	john_thomas_serres
jesse_birdsall	gwyneth_strong
gwyneth_strong	jesse_birdsall
sidney_luft	judy_garland
sidney_luft	lynn_bari
sidney_luft	camille_keaton
claude_of_valois	charles_iii_duke_of_lorraine
parris_glendening	frances_hughes_glendening
frances_hughes_glendening	parris_glendening
yūko_kobayashi	mitsuaki_hoshino
mitsuaki_hoshino	yūko_kobayashi
barbara_steele	james_poe
james_poe	barbara_steele
carol_rosin	jon_cypher
jon_cypher	carol_rosin
aldo_ray	jeff_donnell
aldo_ray	johanna_ray
jeff_donnell	aldo_ray
alexandra_bastedo	patrick_garland
michael_des_barres	pamela_des_barres
martha_jefferson_randolph	thomas_mann_randolph_jr
sharmila_tagore	mansoor_ali_khan_pataudi
harry_hughes	patricia_donoho_hughes
patricia_donoho_hughes	harry_hughes
laurence_h_silberman	rosalie_ricky_gaull_silberman
lettice_knollys	robert_dudley_1st_earl_of_leicester
lettice_knollys	walter_devereux_1st_earl_of_essex
roberta_taylor	peter_guinness_actor
peter_guinness_actor	roberta_taylor
bibi_gaytán	eduardo_capetillo
eduardo_capetillo	bibi_gaytán
almanzo_wilder	laura_ingalls_wilder
atia_balba_caesonia	gaius_octavius
cara_pifko	gareth_bennett
adrianne_curry	christopher_knight
christopher_knight	adrianne_curry
adam_cheng	lydia_shum
lydia_shum	adam_cheng
catherine_woodville	lt_Duchess_of_BuckinghamHenry_Stafford_2nd_Duke_of_Buckinghamgt
catherine_woodville	lt_Duchess_of_BuckinghamRichard_Wingfieldgt
maud_chaworth	henry_plantagenet_3rd_earl_of_lancaster
lilyan_tashman	edmund_lowe
lilyan_tashman	al_lee
edmund_lowe	lilyan_tashman
henry_howard	lt_7th_Duke_of_NorfolkMary_Howard_Duchess_of_Norfolk_d_1705gt
mark_goddard	susan_anspach
maria_augimeri	odoardo_di_santo
odoardo_di_santo	maria_augimeri
jeremy_sisto	marisa_ryan
marisa_ryan	jeremy_sisto
cosimo_iii_de_medici	lt_Grand_Duke_of_TuscanyMarguerite_Louise_dOrléansgt
hermann_einstein	pauline_koch
pauline_koch	hermann_einstein
jon_hall	frances_langford
jon_hall	raquel_torres
frances_langford	jon_hall
frances_langford	ralph_evinrude
raquel_torres	jon_hall
xander_berkeley	sarah_clarke
sarah_clarke	xander_berkeley
milena_dravić	dragan_nikolić
dragan_nikolić	milena_dravić
anna_stern	seth_cohen
laxmikant_berde	priya_arun
henry_miller_actor	bijou_heron
fred_armisen	elisabeth_moss
fred_armisen	sally_timms
maximilian	lt_Crown_Prince_of_SaxonyPrincess_Caroline_of_Parmagt
stanisław_kostka_zamoyski	zofia_czartoryska
zofia_czartoryska	stanisław_kostka_zamoyski
ann_morgan_guilbert	george_eckstein
debbie_matenopoulos	jay_faires
marcel_boussac	fanny_heldy
sridevi	boney_kapoor
bobby_cannavale	jenny_lumet
caroline_ingalls	charles_ingalls
charles_ingalls	caroline_ingalls
michael_weston	priscilla_ahn
prince_tomohito_of_mikasa	princess_tomohito_of_mikasa
princess_tomohito_of_mikasa	prince_tomohito_of_mikasa
andrew_i_of_hungary	anastasia_of_kiev
anastasia_of_kiev	andrew_i_of_hungary
zack_morris	kelly_kapowski
kelly_kapowski	zack_morris
jim_risch	vicki_risch
victoria_horne	jack_oakie
gail_ogrady	jeffrey_byron
jeffrey_byron	gail_ogrady
frank_faylen	carol_hughes
anna_maria_alberghetti	claudio_guzmán
kathryn_crosby	bing_crosby
sarah_murdoch	lachlan_murdoch
stephanie_j_block	sebastian_arcelus
sebastian_arcelus	stephanie_j_block
paul_scheer	june_diane_raphael
june_diane_raphael	paul_scheer
sandy_lam	jonathan_lee_record_producer
jonathan_lee_record_producer	sandy_lam
tamzin_outhwaite	tom_ellis_actor
noah_bennett	paloma_lopezfitzgerald
paloma_lopezfitzgerald	noah_bennett
sheila_sim	richard_attenborough
richard_attenborough	sheila_sim
ruggero_deodato	silvia_dionisio
smita_patil	raj_babbar
jacques_feyder	françoise_rosay
françoise_rosay	jacques_feyder
michael_tucker_actor	jill_eikenberry
ann_smith_franklin	james_franklin_printer
james_franklin_printer	ann_smith_franklin
bianca_maria_visconti	francesco_i_sforza
ray_barnett	neela_rasgotra
neela_rasgotra	ray_barnett
neela_rasgotra	tony_gates
neela_rasgotra	michael_gallant
napoleon_louis_bonaparte	charlotte_napoléone_bonaparte
charlotte_napoléone_bonaparte	napoleon_louis_bonaparte
conway_bernerslee	mary_lee_woods
mary_lee_woods	conway_bernerslee
prince_valdemar_of_denmark	princess_marie_of_orléans_18651909
princess_marie_of_orléans_18651909	prince_valdemar_of_denmark
persia_white	saul_williams
annemarie_slaughter	andrew_moravcsik
dean_devlin	lisa_brenner
princess_haya_bint_al_hussein	mohammed_bin_rashid_al_maktoum
umaru_yaradua	turai_yaradua
turai_yaradua	umaru_yaradua
diana_hoddinott	harry_towb
harry_towb	diana_hoddinott
marek_perepeczko	agnieszka_perepeczko
antonio_i	lt_Prince_of_MonacoMarie_of_Lorrainegt
héctor_soberón	sussan_taunton
héctor_soberón	michelle_vieth
roberte_ponsonby	lt_Countess_of_BessboroughVere_Ponsonby_9th_Earl_of_Bessboroughgt
jose_de_venecia	lt_JrGina_de_Veneciagt
rodrigo_de_quiroga	inés_de_suárez
jarrett_barrios	doug_hattaway
diane_keen	paul_greenwood
paul_greenwood	diane_keen
kamaladevi_chattopadhyay	harindranath_chattopadhyay
elyse_knox	tom_harmon
arcadia_bandini_de_stearns_baker	abel_stearns
arcadia_bandini_de_stearns_baker	robert_symington_baker
abel_stearns	arcadia_bandini_de_stearns_baker
bo_buchanan	nora_hanen
nora_hanen	bo_buchanan
nora_hanen	clint_buchanan
nora_hanen	hank_gannon
jerzy_jurandot	stefania_grodzieńska
stefania_grodzieńska	jerzy_jurandot
arlene_alda	alan_alda
alan_alda	arlene_alda
vere_ponsonby	lt_9th_Earl_of_BessboroughRoberte_Ponsonby_Countess_of_Bessboroughgt
ahmosemeritamun	amenhotep_i
erin_hershey_presley	brian_presley
brian_presley	erin_hershey_presley
kate_isitt	nigel_cole
nigel_cole	kate_isitt
elizabeth_somerset	lt_Countess_of_Worcester_c_1476__c_1513Charles_Somerset_1st_Earl_of_Worcestergt
marguerite_snow	james_cruze
marguerite_snow	neely_edwards
kevin_mcnally	phyllis_logan
phyllis_logan	kevin_mcnally
charles_napoléon	princess_béatrice_of_bourbontwo_sicilies
princess_béatrice_of_bourbontwo_sicilies	charles_napoléon
arthur_kent_white	kathleen_merrell_white
kathleen_merrell_white	arthur_kent_white
ola_rapace	noomi_rapace
noomi_rapace	ola_rapace
james_c_collins	joanne_ernst
kathleen_falk	peter_bock_wisconsin_politician
margaret_howard	lt_Duchess_of_NorfolkThomas_Howard_4th_Duke_of_Norfolkgt
rahul_mahajan_reality_tv_personality	dimpy_mahajan
dimpy_mahajan	rahul_mahajan_reality_tv_personality
gardner_dickinson	judy_dickinson
judy_dickinson	gardner_dickinson
maria_of_aragon	lt_Queen_of_PortugalManuel_I_of_Portugalgt
gauri_pradhan_tejwani	hiten_tejwani
hiten_tejwani	gauri_pradhan_tejwani
elias	lt_Duke_of_ParmaArchduchess_Maria_Anna_of_Austria_18821940gt
infanta_eulalia_of_spain	infante_antonio_duke_of_galliera
jimmy_mcnulty	beadie_russell
beadie_russell	jimmy_mcnulty
lois_nettleton	jean_shepherd
frank_buck_animal_collector	amy_leslie
amy_leslie	frank_buck_animal_collector
yul_bürkle	scarlet_ortiz
alex_fong_actor	hoyan_mok
hoyan_mok	alex_fong_actor
prince_eduard_of_saxealtenburg	princess_amalie_of_hohenzollernsigmaringen
princess_amalie_of_hohenzollernsigmaringen	prince_eduard_of_saxealtenburg
sukhumala_marasri	chulalongkorn
lin_shaye	clayton_landey
clint_buchanan	nora_hanen
clint_buchanan	lindsay_rappaport
hank_gannon	nora_hanen
zein_alsharaf_talal	talal_of_jordan
joette_katz	philip_rubin
khamoun_i	sisavang_vong
amy_robbins	robert_daws
anna_of_tyrol	matthias_holy_roman_emperor
emma_lehmer	derrick_henry_lehmer
sarah_g_buxton	shane_brolly
worthy_lady_shun	qianlong_emperor
olivia_winters	nathan_hastings
olivia_winters	malcolm_winters
nathan_hastings	olivia_winters
lady_katherine_percy	edmund_grey_1st_earl_of_kent
sitaram_bhaskar_bhagwat	savitri_devi
janelle_johnson	george_dolenz
adriana_cramer	rex_balsom
rex_balsom	adriana_cramer
rex_balsom	jennifer_rappaport
dixie_cooney_martin	adam_chandler
adam_chandler	brooke_english
adam_chandler	erica_kane
adam_chandler	gloria_marsh
alan_spaulding	olivia_spencer
alan_spaulding	doris_wolfe
olivia_spencer	phillip_spaulding
pauline_curley	kenneth_peach
constance_of_france	lt_Princess_of_AntiochBohemond_I_of_Antiochgt
constance_of_france	lt_Princess_of_AntiochHugh_Count_of_Champagnegt
constance_of_france	lt_Countess_of_ToulouseEustace_IV_Count_of_Boulognegt
constance_of_france	lt_Countess_of_ToulouseRaymond_V_Count_of_Toulousegt
irina_pavlovna_paley	prince_feodor_alexandrovich_of_russia
prince_feodor_alexandrovich_of_russia	irina_pavlovna_paley
carla_von_lahnstein	bernd_von_beyenbach
bernd_von_beyenbach	carla_von_lahnstein
eric_fellner	gaby_dellal
gaby_dellal	eric_fellner
prince_sigismund_of_prussia_18961978	princess_charlotte_of_saxealtenburg
andriy_shevchenko_politician	hanna_homonai
julia_compton_moore	hal_moore
alexander_krull	liv_kristine
neferneferuaten	smenkhkare
lori_nelson	johnny_mann
princess_marie_of_hohenzollernsigmaringen	prince_philippe_count_of_flanders
princess_caroline_of_parma	maximilian_crown_prince_of_saxony
robert_goldwater	louise_bourgeois
angela_pan	chan_hunglit
chan_hunglit	angela_pan
princess_maria_christina_of_saxony_17701851	charles_emmanuel_prince_of_carignan
don_draper	betty_draper
harriet_g_walker	t_b_walker
t_b_walker	harriet_g_walker
marguerite_louise_dorléans	cosimo_iii_de_medici_grand_duke_of_tuscany
irina_godunova	feodor_i_of_russia
shayne_lewis	marina_cooper
kristen_dalton_actress	darren_dalton
alice_marriott	j_willard_marriott
tzeni_karezi	kostas_kazakos
isabella_brant	peter_paul_rubens
mayrín_villanueva	jorge_poza
margaret_morris_dancer	john_duncan_fergusson
prince_rasso_of_bavaria	archduchess_theresa_of_austria_b_1931
archduchess_theresa_of_austria_b_1931	prince_rasso_of_bavaria
poomaikelani	hiram_kahanawai
marie_of_hohenstaufen	henry_ii_duke_of_brabant
marie_of_hohenstaufen	duke_of_lothier
ingeborg_magnusdotter_of_sweden	eric_vi_of_denmark
elsie_mackay	dennis_wyndham
countess_ina_marie_von_bassewitz	prince_oskar_of_prussia
princess_anna_sophie_of_denmark	john_george_iii_elector_of_saxony
prince_miguel	lt_Duke_of_ViseuAnita_de_Braganzagt
anna_vasilchikova	ivan_iv_of_russia
ivan_iv_of_russia	anastasia_of_russia
ivan_iv_of_russia	maria_nagaya
princess_alice_of_the_united_kingdom	louis_iv_grand_duke_of_hesse
anthony_k_roberts	gloria_neil
prince_henry	lt_Count_of_BardiInfanta_Adelgundes_Duchess_of_Guimarãesgt
prince_henry	lt_Count_of_BardiPrincess_Maria_Luisa_Immaculata_of_BourbonTwo_Siciliesgt
zachary_taylor	margaret_taylor
elizabeth_butler	lt_Countess_of_OrmondJames_Butler_2nd_Earl_of_Ormondgt
mary_fitzalan	thomas_howard_4th_duke_of_norfolk
infanta_adelgundes	lt_Duchess_of_GuimarãesPrince_Henry_Count_of_Bardigt
princess_louise_eleanore_of_hohenlohelangenburg	george_i_duke_of_saxemeiningen
matilda_of_habsburg	louis_ii_duke_of_bavaria
william_james_parke_hume	alice_stevenson
infante_antonio	lt_Duke_of_GallieraInfanta_Eulalia_of_Spaingt
anita_de_braganza	prince_miguel_duke_of_viseu
agnes_keith	lt_Countess_of_MorayJames_Stewart_1st_Earl_of_Moraygt
agnes_keith	lt_Countess_of_MorayColin_Campbell_6th_Earl_of_Argyllgt
agnes_leslie	lt_Countess_of_MortonWilliam_Douglas_6th_Earl_of_Mortongt
marga_barbu	eugen_barbu
columba_domínguez	emilio_fernández
margaret_of_france	lt_Duchess_of_BrabantJohn_I_Duke_of_Brabantgt
gina_de_venecia	jose_de_venecia_jr
marie_of_lorraine	antonio_i_prince_of_monaco
edward_conway	lt_1st_Earl_of_ConwayAnne_Conway_Viscountess_Conwaygt
smiltsena_palaiologina	smilets_of_bulgaria
mor_otoole	lt_Queen_of_LeinsterDermot_MacMurroughgt
casimir_ii_the_just	helen_of_znojmo
archduchess_maria_anna_of_austria_18821940	elias_duke_of_parma
margaret_de_quincy	lt_Countess_of_LincolnJohn_de_Lacy_1st_Earl_of_Lincolngt
margaret_de_quincy	lt_Countess_of_LincolnWalter_Marshal_5th_Earl_of_Pembrokegt
walter_marshal	lt_5th_Earl_of_PembrokeMargaret_de_Quincy_Countess_of_Lincolngt
mark_burns	jane_how
mark_burns	paulene_stone
lasse_kolstad	bab_christensen
louise_mauger	pierre_gadoys
manny_villar	cynthia_villar
cynthia_villar	manny_villar
ursula_pole	lt_Baroness_StaffordHenry_Stafford_1st_Baron_Staffordgt
julius_henry	lt_Duke_of_SaxeLauenburgAnne_of_Ostfrieslandgt
karin	lt_Hereditary_Grand_Duchess_of_MecklenburgSchwerinFriedrich_Franz_Hereditary_Grand_Duke_of_MecklenburgSchweringt
elizabeth_de_vere	lt_Countess_of_DerbyWilliam_Stanley_6th_Earl_of_Derbygt
princess_louise_amelie_of_baden	gustavus_crown_prince_of_sweden
jeannette_paulson_hereniko	vilsoni_hereniko
jonas_max_ferris	dagen_mcdowell
dara_rasmi	chulalongkorn
naamah_genesis	noah
georgia_stitt	jason_robert_brown
ljubica_vukomanović	miloš_obrenović_i_prince_of_serbia
olu_jacobs	joke_silva
joke_silva	olu_jacobs
albert_einstein	mileva_marić
mileva_marić	albert_einstein
augustus	scribonia
augustus	clodia_pulchra
agrippina_the_elder	germanicus
germanicus	agrippina_the_elder
afonso_i_of_portugal	maud_of_savoy
maud_of_savoy	afonso_i_of_portugal
alfonso_xiii_of_spain	victoria_eugenie_of_battenberg
charles_tupper	frances_tupper
casimir_iii_the_great	aldona_of_lithuania
casimir_iii_the_great	adelaide_of_hesse
enrico_fermi	laura_fermi
albert_of_saxony	carola_of_vasa
frederick_augustus_ii_of_saxony	archduchess_marie_caroline_of_austria
archduchess_marie_caroline_of_austria	frederick_augustus_ii_of_saxony
felicia_farr	jack_lemmon
john_wayne	esperanza_baur
john_wayne	pilar_pallete
esperanza_baur	john_wayne
pilar_pallete	john_wayne
jefferson_davis	sarah_knox_taylor
julia_kristeva	philippe_sollers
john_of_england	isabel_countess_of_gloucester
john_of_england	isabella_of_angoulême
marcus_aurelius	faustina_the_younger
stephen_king	tabitha_king
tabitha_king	stephen_king
william_i_of_scotland	ermengarde_de_beaumont
haile_selassie_i	menen_asfaw
catherine_de_medici	henry_ii_of_france
henry_ii_of_france	catherine_de_medici
rudolph_i_of_germany	gertrude_of_hohenburg
rudolph_i_of_germany	isabella_of_burgundy_12701323
gertrude_of_hohenburg	rudolph_i_of_germany
isabella_of_burgundy_12701323	rudolph_i_of_germany
suzy_kendall	dudley_moore
anne_of_great_britain	prince_george_of_denmark
prince_george_of_denmark	anne_of_great_britain
wallis	lt_Duchess_of_WindsorEdward_VIII_of_the_United_Kingdomgt
wallis	lt_Duchess_of_WindsorErnest_Aldrich_Simpsongt
wallis	lt_Duchess_of_WindsorEarl_Winfield_Spencer_Jrgt
victoria_of_the_united_kingdom	albert_prince_consort
simon_de_montfort	lt_6th_Earl_of_LeicesterEleanor_of_Leicestergt
alexandra_feodorovna_alix_of_hesse	nicholas_ii_of_russia
robert_devereux	lt_2nd_Earl_of_EssexFrances_Walsinghamgt
robert_devereux	lt_3rd_Earl_of_EssexFrances_Carr_Countess_of_Somersetgt
sigismund_iii_vasa	constance_of_austria
constance_of_austria	sigismund_iii_vasa
margrethe_ii_of_denmark	henrik_prince_consort_of_denmark
david_gest	liza_minnelli
louis_bonaparte	hortense_de_beauharnais
hortense_de_beauharnais	louis_bonaparte
leopold_iii_of_belgium	astrid_of_sweden
astrid_of_sweden	leopold_iii_of_belgium
bolesław_iii_wrymouth	salomea_of_berg
bolesław_iii_wrymouth	zbyslava_of_kiev
władysław_i_herman	judith_of_bohemia
władysław_i_herman	judith_of_swabia
judith_of_bohemia	władysław_i_herman
georg_ludwig_von_trapp	maria_von_trapp
maria_von_trapp	georg_ludwig_von_trapp
demi_moore	bruce_willis
demi_moore	ashton_kutcher
demi_moore	freddy_moore
qian_zhongshu	yang_jiang
yang_jiang	qian_zhongshu
olav_v_of_norway	princess_märtha_of_sweden
princess_märtha_of_sweden	olav_v_of_norway
herod_the_great	mariamne_second_wife_of_herod
herod_the_great	mariamne_third_wife_of_herod
herod_the_great	malthace
charles_emmanuel_iii_of_sardinia	countess_palatine_anne_christine_of_sulzbach
